title,year,rating,genre,mood,language,imdb_score,description
The Incredibles,2004,G,"Action, Adventure, Thriller, Comedy","Happy, Excited, Relaxed",English,8,A family of superheroes tries to live a quiet suburban life
Spy Kids,2001,PG,"Action, Adventure, Thriller, Comedy","Excited, Happy, Motivated",English,5.5,Kids discover their parents are secret agents
Krrish,2006,U,"Action, Adventure, Thriller, Sci-fi","Excited, Happy, Motivated",Hindi,6.4,A superhero with special powers fights evil
Mr. India,1987,U,"Action, Adventure, Thriller, Comedy, Sci-fi","Happy, Excited, Relaxed",Hindi,7.7,An invisible superhero fights a villain to help children
Despicable Me,2010,PG,"Comedy, Romance, Family, Adventure","Happy, Excited, Relaxed",English,7.7,A supervillain adopts three orphan girls
Home Alone,1990,PG,"Comedy, Romance, Family, Adventure","Happy, Excited, Relaxed",English,7.7,A kid defends his house from burglars
Chhota Bheem and the Curse of Damyaan,2012,U,"Comedy, Romance, Family, Adventure, Fantasy","Happy, Excited, Relaxed",Hindi,6,Bheem and friends go on a fun adventure
Bhootnath,2008,U,"Comedy, Romance, Family, Fantasy","Happy, Excited, Relaxed, Scared",Hindi,6.5,A friendly ghost befriends a young boy
Inside Out,2015,PG,"Drama, Romance, Comedy, Family","Sad, Relaxed, Motivated, Happy",English,8.1,A girl's emotions come to life during a big move
Wonder,2017,PG,"Drama, Romance, Family","Motivated, Excited, Happy",English,7.9,A boy with facial differences starts school for the first time
Taare Zameen Par,2007,U,"Drama, Romance, Family","Sad, Relaxed, Motivated, Happy",Hindi,8.5,A dyslexic child finds help from an understanding teacher
Stanley Ka Dabba,2011,U,"Drama, Romance, Family","Happy, Excited, Relaxed, Sad",Hindi,8.1,A cheerful boy whose lunch box hides a secret
Monster House,2006,PG,"Horror, Thriller, Mystery, Comedy, Adventure","Scared, Excited",English,6.6,Kids discover a haunted house across the street
Coraline,2009,PG,"Horror, Thriller, Mystery, Adventure, Fantasy","Scared, Excited",English,7.7,A girl finds a secret door to a parallel world with sinister intent
Makdee,2002,U,"Horror, Thriller, Mystery, Comedy","Scared, Excited",Hindi,7.4,A girl encounters a witch in a village
Bhootnath Returns,2014,U,"Horror, Thriller, Mystery, Comedy, Fantasy","Scared, Excited, Happy, Motivated",Hindi,6.6,A ghost befriends a boy and fights corrupt politicians
Big Hero 6,2014,PG,"Sci-fi, Action, Adventure, Comedy","Excited, Happy, Motivated, Sad",English,7.8,A boy and his robot battle a masked villain
WALL-E,2008,G,"Sci-fi, Action, Adventure, Romance","Relaxed, Happy, Sad",English,8.4,A robot falls in love while cleaning up Earth
Koi Mil Gaya,2003,U,"Sci-fi, Action, Adventure, Drama, Family","Happy, Excited, Relaxed, Sad",Hindi,6.8,A boy with special needs befriends an alien
Ra.One,2011,U,"Sci-fi, Action, Adventure","Excited, Happy, Motivated",Hindi,5.4,A video game villain comes to life in the real world
Enchanted,2007,PG,"Romance, Drama, Comedy, Fantasy","Happy, Excited, Relaxed",English,7,An animated princess is transported to modern-day New York
The Princess Diaries,2001,G,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,6.3,A teenager discovers she is a princess
Hum Hain Rahi Pyar Ke,1993,U,"Romance, Drama, Comedy","Happy, Excited, Relaxed",Hindi,7.7,A man and woman bond while looking after kids
Dilwale Dulhania Le Jayenge,1995,U,"Romance, Drama, Comedy, Adventure","Happy, Excited, Relaxed, Sad",Hindi,8.1,A young couple fights to be together against family wishes
Spider-Man Homecoming,2017,PG-13,"Action, Adventure, Thriller, Comedy","Excited, Happy, Motivated",English,7.4,Young Spider-Man fights his way to the Avengers
The Maze Runner,2014,PG-13,"Action, Adventure, Thriller, Sci-fi","Excited, Happy, Motivated, Scared",English,6.8,Teens try to escape a deadly maze
Dhoom 3,2013,U/A,"Action, Adventure, Thriller","Excited, Happy, Motivated, Sad",Hindi,5.3,A circus performer turns bank robber seeking revenge
Bang Bang,2014,U/A,"Action, Adventure, Thriller, Romance, Comedy","Excited, Happy, Motivated",Hindi,5.8,A spy and a girl go on a wild chase adventure
Ferris Bueller's Day Off,1986,PG-13,"Comedy, Romance, Family, Adventure","Happy, Excited, Relaxed",English,7.8,A teen skips school for an epic day in Chicago
Mean Girls,2004,PG-13,"Comedy, Romance, Family","Happy, Excited, Relaxed",English,7,A home-schooled girl enters the brutal world of high school
3 Idiots,2009,PG-13,"Comedy, Romance, Family, Drama","Happy, Excited, Relaxed, Sad, Motivated",Hindi,8.4,Three engineering students challenge the education system
Chhichhore,2019,UA,"Comedy, Romance, Family, Drama","Happy, Excited, Relaxed, Sad, Motivated",Hindi,8.2,A group of college friends revisit their hostel days
The Perks of Being a Wallflower,2012,PG-13,"Drama, Romance","Sad, Relaxed, Motivated",English,8,An introvert navigates the maze of teenage life
The Fault in Our Stars,2014,PG-13,"Drama, Romance","Sad, Relaxed, Motivated, Happy",English,7.7,Two teens with cancer fall in love
A Quiet Place,2018,PG-13,"Horror, Thriller, Mystery, Sci-fi","Scared, Excited",English,7.5,A family survives in silence to avoid deadly creatures
The Ring,2002,PG-13,"Horror, Thriller, Mystery","Scared, Excited",English,7.1,A journalist investigates a cursed videotape
Bhool Bhulaiyaa,2007,UA,"Horror, Thriller, Mystery, Comedy","Scared, Excited, Happy",Hindi,7.4,A man claims to debunk a ghost in a haunted mansion
Stree,2018,UA,"Horror, Thriller, Mystery, Comedy","Happy, Excited, Relaxed",Hindi,7.6,A town is terrorized by a mysterious female spirit
Ready Player One,2018,PG-13,"Sci-fi, Action, Adventure","Excited, Happy, Motivated",English,7.4,Players compete in a virtual reality world for ultimate control
Ender's Game,2013,PG-13,"Sci-fi, Action, Adventure","Excited, Happy, Motivated, Scared",English,6.6,A young prodigy is trained to lead an army against aliens
To All the Boys I've Loved Before,2018,PG,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,7.2,A girl's secret love letters are accidentally sent out
The Spectacular Now,2013,R,"Romance, Drama, Comedy","Sad, Relaxed, Motivated",English,7.1,A charming slacker falls for a shy girl
Student of the Year,2012,UA,"Romance, Drama, Comedy","Happy, Excited, Relaxed",Hindi,4.8,Students compete for popularity and love at an elite school
Jaane Tu Ya Jaane Na,2008,UA,"Romance, Drama, Comedy","Happy, Excited, Relaxed",Hindi,7.5,Best friends realize they are meant for each other
Mad Max Fury Road,2015,R,"Action, Adventure, Thriller, Sci-fi","Excited, Happy, Motivated",English,8.1,A woman leads a rebellion against a tyrant in a post-apocalyptic desert
John Wick,2014,R,"Action, Adventure, Thriller","Excited, Happy, Motivated",English,7.4,A retired hitman seeks vengeance for the murder of his dog
War,2019,A,"Action, Adventure, Thriller","Excited, Happy, Motivated",Hindi,6.5,An agent is tasked with eliminating his mentor who has gone rogue
Shershaah,2021,UA,"Action, Adventure, Thriller, Drama, War","Motivated, Excited, Happy, Sad",Hindi,8.4,The true story of war hero Captain Vikram Batra
Inception,2010,PG-13,"Action, Adventure, Thriller, Mystery","Excited, Happy, Motivated, Scared",English,8.8,A thief who steals via dream-sharing is hired for a reverse mission
The Dark Knight,2008,PG-13,"Action, Adventure, Thriller, Drama","Excited, Happy, Motivated, Scared",English,9,Batman faces the anarchic Joker who threatens Gotham
Don 2,2011,UA,"Action, Adventure, Thriller","Excited, Happy, Motivated",Hindi,5.9,The world's most wanted criminal plans an ultimate heist
Baby,2015,UA,"Action, Adventure, Thriller","Motivated, Excited, Happy, Scared",Hindi,7.8,An undercover operation to neutralize a terrorist threat
